Longueur; L=1; L=2; L=3; L=4; L=5; L=6; L=7; L=8; L=9; L=10; L=11
;['I']/4132;['Mr.']/70;['Mr. Hervey', 'Mrs. Ormond', 'Mrs. Luttridge']/7;['c.& c']/5;["Mrs. Luttridge' s", 'c.& c.']/3;['c.& c.&']/2;['c.& c.& c']/2;['c.& c.& c.', "I don' t wish to go to"]/1;['c.& c.& c.&']/1;['c.& c.& c.& c']/1; []
;['s']/464;['I am']/46;['Mr. Percival', 'Mr. Vincent', "don' t"]/6;["Mrs. Luttridge'"]/3;['Done! done!\xe2\x80\x9d cried', 'think of him no more', "I don' t deserve", 'Philip was the person who', 'I knew what I ought', "don' t look so", "Don' t you,", 'courage to speak the truth', 'X--- says so,', 'tell her that it is', 'statutes of Oakly- park', 'give to Mr. Hervey', 'From Oakly- park,\xe2\x80\x9d', 'I did not say so', 'Do go about your business', 't wish to go to', 'things have gone so far', "don' t wish to", 'heard of\xe2\x80\x98 love me', 'relations hate me\xe2\x80\x94 no', 'He is not a man', 'I do not love you', 'O, lady Anne Percival', "sure I don' t", 'love me, love my', 'full and true description of', 'I am\xe2\x80\x94 I am', 'morrow\xe2\x80\x94 and to morrow', 'Doctor X--- says so', 'friend of acknowledged taste and', 'I do not wish to', "I' ve found it", 'knew what I ought to', 'I had not the courage', "I don' t wish", 'hate me\xe2\x80\x94 no matter', "St. Pierre' s", "Can' t the man", 'common friend of acknowledged taste', 'those who have not the', 'thing, that her ladyship']/1;["St. Pierre' s Virginia", 'friend of acknowledged taste and experience', 'I had not the courage to', 'common friend of acknowledged taste and', 'relations hate me\xe2\x80\x94 no matter', 'Doctor X--- says so,', 'I do not wish to marry', 'I knew what I ought to', "don' t wish to go", 'full and true description of him', 'O, lady Anne Percival is', "sure I don' t deserve", "I don' t wish to", 'heard of\xe2\x80\x98 love me,', 'X--- says so, and', "I' ve found it!\xe2\x80\x94"]/1;["don' t wish to go to", "I don' t wish to go", 'Doctor X--- says so, and']/1;[];[];[]; []
;['lady']/276;['Mrs.']/40;['St. Pierre', "I' ll", 'c.&']/5;["lady Delacour' s", 'I knew you would', "I don' t", 'Tis good to be']/2;[];[];[];[];[];[]; []
;['Delacour']/176;['I have']/35;['I am not', 'I do not', 'Mrs. Stanhope']/4;['true description of him', 'knew what I ought', 'From Oakly- park', "Pierre' s Virginia", 'fine lady\xe2\x80\x94 I', "sure I don'", "lover' s hopes", 'I was so late', 'those who have not', 'I am\xe2\x80\x94 I', 'O, lady Anne', "don' t wish", 'lady Delacour should die', 'Little did I know', 'I know it\xe2\x80\x94', 'give to Mr.', "I' ve found", 'God will bless you', "Champfort' s fault", 't some of ye', 'love with a picture', 'battle between two dogs', 'judgment and knowledge of', 'tell her that it', 'I am not your', 'Virginia St. Pierre', 'soon as I go', 'lady Anne Percival is', 'shake, shake,', 'full and true description', 'I do not love', 'Do go about your', 'matter\xe2\x80\x94 I despise', 'relations hate me\xe2\x80\x94', 'things have gone so', "aunt Stanhope' s", 'wish to go to', 'Why was it necessary', 'Philip was the person', "don' t look", 'acknowledged taste and experience', 'think of him no', 'I beg your pardon', "don' t deserve", 'belief in a quack', 'friend of acknowledged taste', 'morrow\xe2\x80\x94 and to', 'I had not the', 'consult a physician\xe2\x80\x94', 'we grow tired of', 'manner of consequence to', 'Belinda Portman, and', 'X--- says so', 'thing, that her', 'lost! lost!', 'upon me,\xe2\x80\x9d said', 'Mrs. Smith,', 'I ask for no', 'black and orange,', 'courage to speak the', 'love me, love', 'look back to it', 'hate me\xe2\x80\x94 no', 'coach- maker,', 'go about your business', "lord' s death", 'tell it you.', 'victorious. And he', 'under the dominion of', 'dreaded the sight of', "wou' d not", 'rejoiced I am to', 'Dr. X---', 'woman blush before?\xe2\x80\x94', 'I give her up', 'Oakly- park,\xe2\x80\x9d', 'He is not a', 've found it!\xe2\x80\x94', 'Done! done!\xe2\x80\x9d', 'quarrelled with me for', 'Doctor X--- says', 'I did not say', 'Am I to blame', 'Delacour shall make inquiries', 'entertaining man in the', 'heavenly sort of style', "Can' t the", 't wish to go', 'West- Indian ladies', 'I might have been', 'those who cease to', "Don' t you", 'I do assure you', 'un petit nez retrouss\xc3\xa9', 'Mr. Percival,', 'satisfaction to me to', 'I have had no', 'la femme comme il', 'I do not wish', 'heard of\xe2\x80\x98 love', 'She has made me', 'never more will I', 'common friend of acknowledged', "St. Pierre'", 'put me out of', "Hervey' s taste", "I' ll lay", 'lord and my lady', 'I knew what I', 'shame! shame!', "duck' em\xe2\x80\x94", 'statutes of Oakly-']/1;[];[];[];[];[];[]; []
;['Mr']/148;["I'"]/21;["I' m", "Luttridge' s", "duck' em", 'Juba, the']/3;[];[];[];[];[];[];[]; []
;['upon']/98;['lady Delacour']/20;['Tis good to', "Delacour' s", "I don'", 'Oakly- park', 'give her up', 'good to be', 'lady Anne Percival', "ma' am", 'Mrs. Smith', 'Mr. Hartley', 'I did not', "Where' s", 'I should have', 'ha! ha', 'She has made', 'knew you would', 'Mrs. Freke', 'I knew you', "lady Delacour'", 'lady Delacour,', 'speak to me', 'black and orange']/2;[];[];[];[];[];[];[]; []
;['Belinda']/92;['I will', 'I was']/14;['out of ten', 'more agreeable,', 'repugnance for him', 'la femme comme', 'I could not', 'heard of\xe2\x80\x98', 'sort of style', 'till he is', 'great delight,', 'devil are you', 'very glad to', 'much the better', 'time or other', 'never more will', 'family history piece', 'never shall they', 'refuse him?\xe2\x80\x9d', 'wear it for', "couldn' t", 'X--- says', 'body.\xe2\x80\x9d\xe2\x80\x9c', 'I knew what', 'satisfaction to me', 'I can remember', 'one of my', 'none of the', 'indifferent spectator,', 'I ought to', 'O, lady', 'arms of the', 'put me out', 'shame! shame', 'I love you', 'military courage,', "I' ve", 'gone so far', 'laws of honour', 'I would not', "Champfort' s", 'myrtle, which', 'approve of it', "Pierre' s", 'Delacour shall make', 'beg your pardon', 'Harriet Freke!\xe2\x80\x94', 'From Oakly-', 'I am\xe2\x80\x94', 'full and true', "Don' t", 'God will bless', 'Belinda loves you', 'between two dogs', 'quarrelled with me', 'Mr. Moreton', 'sort of way', 'love him enough', "massa' s", 'forget, how', 'sure I don', 'I am sure', 'I should be', 'Doctor X---', 'slave of the', 'general character,', 'half the world', 'history piece,', 'one thing,', 'done!\xe2\x80\x9d cried', 'ask no questions', 'I have taken', 'description of him', 'I hope,\xe2\x80\x9d', 'I beg your', 'put it into', 'Dr. X', 'displeased, and', 'Helena,\xe2\x80\x9c', 'air, air', 'left- handed', 'cause of my', "Hervey' s", 'friend the colonel', 'woman blush before', "Can' t", 'She has no', 'love me,', 'up, and', 'more likely to', 'I care not', 'judgment and knowledge', 'under the dominion', 'secret in the', 're eating it', 'courage to speak', 'I have surely', 'I thought she', 'un petit nez', "L' Ecossaise", 'pleasant young man', 'true description of', 'speech and confession', 'dreaded the sight', 's head,', 'I do,', 'I thought something', 'sake of her', 'I beg that', 'bona fide,', 'I mean\xe2\x80\x94', 'fine lady\xe2\x80\x94', 'wish, that', "lover' s", "Lawless' s", 'belief in a', "wou' d", 'I will not', 'write?\xe2\x80\x9d\xe2\x80\x9c', 'E O table', '\x99\xe2\x80\x94\xe2\x80\x98 My', 'one of the', 'battle between two', 'matter\xe2\x80\x94 I', 'acknowledged taste and', 'knew what I', 'shall make inquiries', 'tell me,', 'thousand times more', 'Why was it', 'courage to be', 'waited, and', 'hate me\xe2\x80\x94', 'ought.\xe2\x80\x9d\xe2\x80\x9c', 'I had not', 'y en a', 'more than they', 'Delacour should die', 'happiest of men', 'relations hate me', 'now that you', 'thousand a year', 'common friend of', 'loves you\xe2\x80\x94', 'taste and experience', 'bet, and', 'tell her that', 'Give ye joy', 'want to be', "aunt Stanhope'", 'I do assure', 'lost! lost', 'partner of his', 'shake, shake', 'things have gone', 'I told you', 'What do you', 'wish to marry', 'rejoiced I am', 'He is not', 'coach- maker', 'I have had', 'Strange, that', 'back to it', 'I am to', 'I was so', 'found it!\xe2\x80\x94', 'much for my', 'think of me', 'love with a', 'Lord! madam', 'kill me,', 'know it\xe2\x80\x94', 'friend of acknowledged', 'Philip was the', 'Do go about', 'lord and my', 'courage, as', 'instead of yours', 'I ask for', 'wish to go', 'generous action than', 'heavenly sort of', 'I might have', 'consult a physician', 'Anne Percival is', 'ask for no', 'I am gone', 'entertaining man in', 'Delacour,\xe2\x80\x9c', 'shall we do', 'statutes of Oakly', 'I do believe', 'contrary to the', 'soon as I', 'I know it', 'similarity of taste', 'excusable, because', 'going to be', 'give to Mr', 'more will I', 'I had been', 'O, how', 'keep it up', 'thing, that', 'make a good', 'petit nez retrouss\xc3\xa9', 'Where is your', 'whether he would', 'accustomed to him', "lord' s", 'I only wish', 'know how to', 'Am I to', 'Done! done', 't the man', 'grow tired of', 'No!\xe2\x80\x94 No', 'man in the', 'You perceive that', "Stanhope' s", 'letters.\xe2\x80\x9d\xe2\x80\x9c', 'go on,', 't you,', 'sir Philip Baddely', 'blush before?\xe2\x80\x94', 'victorious. And', 'we grow tired', 'much as he', 'morrow\xe2\x80\x94 and', 'I to blame', 'lady Delacour should', 'lady\xe2\x80\x94 I', 't wish to', 'go about your', 'Virginia St.', 'those who cease', 'more like a', 'course of the', 'I give her', 'look back to', 'Little did I', 'speak the truth', "ladyship' s", 'Joy! Joy', 'femme comme il', 'Damn it,', 'In love with', 'out of my', "wouldn' t", 've found it', 'opinion of the', 'Good night!\xe2\x80\x9d', 'name of being', 't some of', 'think of him', 'manner of consequence', 't look so', "That' s", 'trust you!\xe2\x80\x94', 're no longer', 'madame de Sevign\xc3\xa9', 'those who have', 'Portman, and', 'tell it you', 'll ask no', 'Belinda Portman,', 'West- Indian', 'My father!\xe2\x80\x94', 'upon me,\xe2\x80\x9d']/1;[];[];[];[];[];[];[]; []
;['more']/88;['I do', 'She has', 'miss Portman']/9;[];[];[];[];[];[];[];[]; []
;['Mrs']/86;['I know', 'lady Anne']/7;[];[];[];[];[];[];[];[]; []
;['we']/84;['I should', "don'", 'c.', 'sir Philip']/6;[];[];[];[];[];[];[];[]; []
